a,b,jaccard,n_cells,r,p
34A|0,42S|0,0.031746031746031744,47,0.3212551156109597,0.02767679842354469
34A|0,42T|0,0.0,39,0.32228556705698574,0.04539937910047441
34A|0,44|0,0.08196721311475409,110,0.21545538549539714,0.023789005527459904
34A|0,45|0,0.3333333333333333,111,0.10159905947949656,0.2886699932766757
34A|0,46|0,0.02,45,0.5890754805480657,2.071914061482841e-05
34A|0,48|0,0.060240963855421686,52,0.30598853155652167,0.027377832733159243
34A|0,49.2|0,0.1346153846153846,112,0.5114934124962043,8.247002891910485e-09
34A|0,52|0,0.010416666666666666,44,0.04859090031974589,0.7541122194124055
34A|0,53|0,0.0392156862745098,116,0.2785334402793134,0.002465368645027359
34A|0,55A|0,0.0,36,0.21007510232521856,0.21879227676993535
34A|0,57|0,0.02040816326530612,77,0.1930219016765843,0.09258562534912307
34A|0,61|0,0.0,104,0.2998698550828243,0.0019839649338179474
34A|0,62|0,0.0,88,0.3910771983586419,0.00016497090012235397
34A|0,67|0,0.0,114,0.0951647031128296,0.313852553151539
34A|0,OC1|0,0.0547945205479452,94,0.06726380662821715,0.5194773730550427
34A|0,OC2|0,0.056338028169014086,75,0.08791661436422268,0.45322688866761024
34A|0,OC3|0,0.0,82,0.0437792688025516,0.6961377352098506
34B|0,35|0,0.05084745762711865,46,0.3095260965493773,0.03632729266086422
34B|0,36|0,0.05357142857142857,63,0.3457655945397751,0.005509272979743542
34B|0,39A|0,0.04411764705882353,73,-0.06266704290697998,0.5983989936486126
34B|0,40|0,0.06976744186046512,50,-0.04655360970802015,0.7481862531488638
34B|0,41BC|0,0.0,93,-0.062408647941429654,0.5523200787723033
34B|0,41JB|0,0.0,95,-0.11428115435943945,0.270137241381968
34B|0,42S|0,0.0,64,0.12136221711716877,0.33942634182379455
34B|0,44|0,0.02,76,0.3947310731821657,0.0004177745020639826
34B|0,45|0,0.0,76,-0.09676190896490963,0.4056776337868442
34B|0,48|0,0.013888888888888888,37,0.380503216579017,0.020167073307629024
34B|0,49.2|0,0.0,86,0.19405057736688186,0.07340936627309962
34B|0,52|0,0.012345679012345678,63,0.1523042129197439,0.23340385725014023
34B|0,53|0,0.0,101,0.1957335331053864,0.049805449823674325
34B|0,57|0,0.0,93,-0.047465536427756055,0.6514094424023632
34B|0,61|0,0.0,82,0.09605642502637687,0.3906374911652343
34B|0,67|0,0.0,111,-0.06072487173457052,0.5266561976451691
34B|0,OC2|0,0.0,70,0.02844214116993813,0.8151972531611292
34B|0,OC3|0,0.0,70,0.44014814445117956,0.00013739115253844477
35|0,36|0,0.2318840579710145,50,-0.07967288030494174,0.5823203265831913
35|0,39A|0,0.24358974358974358,73,-0.02850998411594119,0.8107692571742209
35|0,40|0,0.3584905660377358,42,0.0869202881814039,0.5841412495344658
35|0,41BC|0,0.0,88,6.734712822326679e-05,0.9995031264420879
35|0,41JB|0,0.0,89,-0.02661945584203551,0.8044274788073859
35|0,42S|0,0.02702702702702703,40,-0.19129142071491156,0.23703633440080743
35|0,44|0,0.203125,74,0.20190255215145742,0.08451363076161277
35|0,45|0,0.09836065573770492,85,0.04759871910363049,0.6653153901126923
35|0,46|0,0.008928571428571428,54,0.3249698675306363,0.01650167540075872
35|0,48|0,0.2857142857142857,78,0.30440325396456114,0.006735667260921764
35|0,49.2|0,0.0,88,0.20626950341882241,0.053842478419268244
35|0,52|0,0.30120481927710846,41,0.5093884883005274,0.0006702241092101346
35|0,53|0,0.14285714285714285,82,0.24219517650093184,0.028361355670466232
35|0,55A|0,0.0,51,-0.02789411077626118,0.8459386113499577
35|0,57|0,0.0,72,-0.08181577501145716,0.4944636814878626
35|0,61|0,0.0,90,0.08357970347775688,0.43351273633947224
35|0,62|0,0.0,67,0.18922155434674306,0.1251309306540718
35|0,67|0,0.0,109,0.025390953516711726,0.7932633022760598
35|0,OC1|0,0.047619047619047616,76,-0.0035764454380954854,0.9755390284737304
35|0,OC2|0,0.04878048780487805,56,0.060865425108353785,0.6558748529959324
35|0,OC3|0,0.0,53,0.015028507651925108,0.9149426726063045
36|0,39A|0,0.189873417721519,108,0.38333868827944484,4.221902081901988e-05
36|0,40|0,0.2777777777777778,66,-0.010047214271007882,0.9361844560241112
36|0,41BC|0,0.0,100,-0.016418879781598145,0.871199189792499
36|0,41JB|0,0.0,102,-0.05231278210484648,0.6015453619181984
36|0,42S|0,0.028169014084507043,49,0.212167402342284,0.14331625257982458
36|0,42T|0,0.0,42,-0.041228203871274946,0.7954531051766813
36|0,44|0,0.39622641509433965,117,0.14185967738497526,0.12708482146212594
36|0,45|0,0.06666666666666667,120,-0.06258928643664695,0.4970611322192011
36|0,46|0,0.009174311926605505,53,0.3094041070049104,0.024169900882012693
36|0,48|0,0.11627906976744186,57,0.12653929281751197,0.3482634515253931
36|0,49.2|0,0.03076923076923077,122,0.2596440821746194,0.003876490333573035
36|0,52|0,0.009615384615384616,45,0.12689831884980113,0.406159525660011
36|0,53|0,0.08928571428571429,126,0.40733850943317107,2.2041359242589033e-06
36|0,55A|0,0.0,39,-0.04281142254904749,0.7958071282006285
36|0,57|0,0.0,88,0.05348216100778572,0.6206791612292104
36|0,61|0,0.0,110,-0.030389301230714486,0.7526420542059189
36|0,62|0,0.0,88,0.3527921466720613,0.000748274054699547
36|0,67|0,0.0,124,0.13649121529404515,0.1306376143413106
36|0,OC1|0,0.11842105263157894,96,-0.08809158083270452,0.39339753039039643
36|0,OC2|0,0.12162162162162163,78,0.22919442833388354,0.043542935928257226
36|0,OC3|0,0.0,86,0.3737368844703939,0.0003933031244446767
37|0,67|0,0.0,30,-0.1419269595934164,0.4543793215673695
39A|0,39A|1,0.01834862385321101,30,0.474819022611937,0.008017796563337665
39A|0,40|0,0.32786885245901637,76,0.22895343601042956,0.0466570021755867
39A|0,41BC|0,0.0,140,0.19436311373111578,0.021385582420826225
39A|0,41JB|0,0.0,141,0.1275604777669684,0.13171369780602296
39A|0,42S|0,0.024096385542168676,69,0.11823919147060175,0.33323160119518197
39A|0,42T|0,0.0,65,-0.023385200597115616,0.8533039268948305
39A|0,44|0,0.16216216216216217,116,0.33366580188858547,0.00025197279916673983
39A|0,45|0,0.08571428571428572,136,0.33894022740913143,5.429023863488182e-05
39A|0,45|1,0.0,45,-0.25233922904200407,0.09446649945843939
39A|0,46|0,0.0990990990990991,48,0.19603225711194164,0.18176207052169502
39A|0,48|0,0.04854368932038835,56,0.26975262557092716,0.04437250788238455
39A|0,49.2|0,0.0,136,0.08348071029992576,0.3339211941173753
39A|0,52|0,0.017391304347826087,66,-0.08171013996464174,0.5142560519311334
39A|0,53|0,0.12307692307692308,128,0.09571995919752965,0.28246682856136734
39A|0,55A|0,0.008771929824561403,39,-0.13740244626603082,0.4042095051500382
39A|0,57|0,0.0,107,-0.15674618395333362,0.10688923646423526
39A|0,61|0,0.0,140,0.12231092576837713,0.14996965328545905
39A|0,62|0,0.0,101,0.29218119307303897,0.003028626768653349
39A|0,67|0,0.0,152,0.014523027586614926,0.8590503159361786
39A|0,OC1|0,0.3108108108108108,120,0.19952391938324182,0.02890238559508296
39A|0,OC2|0,0.05555555555555555,82,0.2887388193766736,0.008518712118498117
39A|0,OC3|0,0.00909090909090909,84,0.3854325431444874,0.000293959758025779
39A|1,41BC|0,0.0,33,0.36944981764164125,0.034344357001746206
39A|1,41JB|0,0.0,30,0.38809895674355366,0.03406949007873031
39A|1,45|0,0.0,33,0.34038992580140887,0.052584197972308754
39A|1,49.2|0,0.024390243902439025,35,0.372729528405724,0.027442759019827165
39A|1,67|0,0.0,36,0.3041739779659206,0.07128733625475944
39A|1,OC1|0,0.02,31,0.07148777794512103,0.7023426450699365
40|0,41BC|0,0.0,85,0.20767307148360242,0.05650111166954886
40|0,41JB|0,0.0,86,0.03796792355551792,0.7285365291019968
40|0,42S|0,0.034482758620689655,42,-0.13310063635287095,0.40073627958781644
40|0,42T|0,0.0,39,0.13073932903166738,0.4275934335488467
40|0,44|0,0.24489795918367346,69,0.02070614125801336,0.8658957630431829
40|0,45|0,0.13333333333333333,82,0.1331906897489929,0.23290834033760266
40|0,48|0,0.07792207792207792,30,0.10366427329670351,0.5856582350146071
40|0,49.2|0,0.0,89,0.09968655359994402,0.3526484865108585
40|0,52|0,0.022222222222222223,60,-0.10505718897380223,0.42436855194059364
40|0,53|0,0.2,77,0.31909609116603155,0.004675103023167872
40|0,57|0,0.0,64,-0.07247680007789832,0.569263815014333
40|0,61|0,0.0,81,0.44668993237122623,2.9137628258518413e-05
40|0,62|0,0.0,68,0.08424528208068642,0.4945812934595495
40|0,67|0,0.0,97,-0.048772977728691415,0.6352051181690757
40|0,OC1|0,0.058823529411764705,76,0.04044204315148089,0.7286932204187347
40|0,OC2|0,0.06060606060606061,58,-0.1406192659409109,0.29240786235840255
40|0,OC3|0,0.0,52,0.16800610958402945,0.23383286138236736
41BC|0,41JB|0,0.2972972972972973,205,0.2708291159224208,8.578788616952332e-05
41BC|0,42S|0,0.09433962264150944,109,-0.010884996596739395,0.9105571188268037
41BC|0,42T|0,0.37142857142857144,86,0.06123008088058473,0.5754512600426304
41BC|0,44|0,0.0,119,-0.10634125543013345,0.24970396297860656
41BC|0,45|0,0.0,139,0.0465602097592966,0.5862522025076043
41BC|0,45|1,0.0,50,0.04530781757830286,0.7547122734889795
41BC|0,46|0,0.0,47,0.17935384747636396,0.22770608320539817
41BC|0,48|0,0.0,67,0.21102615606448544,0.08649579865162575
41BC|0,49.2|0,0.0,175,0.06223993147149397,0.4132144164842088
41BC|0,52A|0,0.0,36,-0.2719057260962129,0.10865928132293018
41BC|0,52|0,0.0,111,0.08370200751221715,0.3824414232965645
41BC|0,53|0,0.0,144,0.06651844401849924,0.42827767614047213
41BC|0,55A|0,0.0,52,-0.07308304093821524,0.6066315409787585
41BC|0,57|0,0.0,134,-0.058524342901477,0.5017763881735348
41BC|0,61|0,0.38,185,0.046315026716654974,0.5313026039238573
41BC|0,62|0,0.0,121,0.12942218275626174,0.15711997139505307
41BC|0,62|1,0.0,40,0.1360602724030635,0.4025157069876
41BC|0,67|0,0.14285714285714285,218,-0.018523795329230073,0.7856593060483499
41BC|0,OC1|0,0.0,133,0.034449193268078784,0.6938363517969401
41BC|0,OC2|0,0.0,99,0.1280363097143275,0.206599550892327
41BC|0,OC3|0,0.0,103,-0.04233498157710944,0.6711282919455818
41BC|0,OC3|1,0.0,34,0.32043247810269143,0.0646609140911168
41JB|0,42S|0,0.0,110,-0.09932736759789067,0.30188037033868487
41JB|0,42T|0,0.1282051282051282,90,-0.0313641506534451,0.7691710136997149
41JB|0,44|0,0.0,117,0.022204719908740865,0.8121670501525954
41JB|0,45|0,0.0,139,0.0838261412128789,0.3265438543366128
41JB|0,45|1,0.0,49,0.08292172489294972,0.5710916222002784
41JB|0,46|0,0.0,43,0.3056633278486251,0.0462289814617686
41JB|0,48|0,0.0,63,-0.022196804997557835,0.8629069949183173
41JB|0,49.2|0,0.0,172,0.02472510138331028,0.7474895224383122
41JB|0,52A|0,0.0,36,0.0007338902525893072,0.9966106492840883
41JB|0,52|0,0.0,114,0.011773850641009588,0.9010546141506676
41JB|0,53|0,0.0,144,0.23682497817100895,0.004264503274841576
41JB|0,55A|0,0.0,48,-0.003557471128079248,0.9808547982795021
41JB|0,57|0,0.0,140,-0.041881277728567715,0.6232009670114326
41JB|0,61|0,0.1016949152542373,190,0.0024254529531266148,0.9735055365421137
41JB|0,62|0,0.031746031746031744,118,0.22392501860799416,0.014785430292248389
41JB|0,62|1,0.0,40,0.044173747709086,0.7866584875062709
41JB|0,67|0,0.0625,215,0.032856184172220144,0.6318766488031867
41JB|0,OC1|0,0.0,138,0.12126979441970548,0.15651965483893338
41JB|0,OC2|0,0.0,97,0.04162102477134941,0.6856385107990036
41JB|0,OC3|0,0.0,105,-0.07537968111826739,0.4447159069675188
41JB|0,OC3|1,0.0,33,0.18432352720035933,0.30448530298691584
42S|0,42T|0,0.10204081632653061,58,0.06854694868797073,0.6091578535350279
42S|0,44|0,0.031746031746031744,61,0.003970557624275404,0.9757722888720852
42S|0,45|0,0.03773584905660377,73,-0.041359458441164496,0.7282721294673845
42S|0,49.2|0,0.0,75,0.13566481014946577,0.2458318783880284
42S|0,52|0,0.0,62,0.13665499752592514,0.28955303099323837
42S|0,53|0,0.0,78,-0.043373924901005,0.7061282793549686
42S|0,57|0,0.0,79,-0.00033274300938178716,0.997677884829454
42S|0,61|0,0.11940298507462686,96,-0.037214404202949115,0.7188669288501103
42S|0,62|0,0.0273972602739726,60,0.13469762818389888,0.3048441959906483
42S|0,62|1,0.013888888888888888,32,-0.20226391265878735,0.26692209342336476
42S|0,67|0,0.16417910447761194,117,0.06383868741587098,0.49409826417673947
42S|0,OC1|0,0.02702702702702703,74,-0.13112331559952844,0.2654602048039216
42S|0,OC2|0,0.027777777777777776,61,0.01672134698397418,0.8982241531108153
42S|0,OC3|0,0.0,54,0.2856292779398815,0.03629028720872712
42T|0,44|0,0.0,54,0.013646377314424784,0.9219814817664822
42T|0,45|0,0.0,64,-0.07849712280596535,0.5375298857885155
42T|0,45|1,0.0,30,-0.08175407071683907,0.66757498049752
42T|0,49.2|0,0.0,72,0.26943943380214397,0.022093212500774857
42T|0,52|0,0.0,55,-0.10746897925182676,0.4348197922893852
42T|0,53|0,0.0,60,-0.23176794645365886,0.07477360523297184
42T|0,57|0,0.0,64,0.08247394018232422,0.5170543448474536
42T|0,61|0,0.1016949152542373,77,0.10448919687813674,0.36579875755716906
42T|0,62|0,0.0,46,-0.15923785940800816,0.29049130734054973
42T|0,67|0,0.19298245614035087,89,0.022030573231637506,0.8376324581244148
42T|0,OC1|0,0.0,67,-0.14337393148396707,0.24707935732300113
42T|0,OC2|0,0.0,49,-0.20669455315343543,0.15417143682851533
42T|0,OC3|0,0.0,45,-0.2175835091334946,0.1510626800953084
44|0,45|0,0.07692307692307693,131,0.15723648516558755,0.07288028806738163
44|0,46|0,0.0,58,0.2976230260541998,0.02326994107800891
44|0,48|0,0.11392405063291139,76,0.14926546807745167,0.19812107308768856
44|0,49.2|0,0.03508771929824561,134,0.2534006972110586,0.00313462144415196
44|0,52|0,0.0,55,0.09884695465677935,0.47276215372461944
44|0,53|0,0.10416666666666667,144,0.19785207662340973,0.01745027636390391
44|0,55A|0,0.0,56,0.0252625023277006,0.8533758313801209
44|0,57|0,0.0,103,-0.038220236354620664,0.7014979292161965
44|0,61|0,0.0,125,0.05923196960410056,0.5117231115854279
44|0,62|0,0.0,100,0.29394477386741985,0.002993918788825873
44|0,67|0,0.0,143,0.028795092055582703,0.7328115868745241
44|0,OC1|0,0.1323529411764706,113,0.06585061109332487,0.48832762278250574
44|0,OC2|0,0.13636363636363635,95,-0.00029582828661809356,0.997729856964783
44|0,OC3|0,0.0,96,-0.07686992602133008,0.45663169169557066
45|0,45|1,0.04,30,0.2936427450431973,0.115267069228321
