line_id,direction,n_trips,n_delayed,delay_rate,wilson_lo,wilson_hi,median_delay_sec,median_ci_lo,median_ci_hi,p90_delay_sec,n_days,enough
34A,1,65,18,0.27692307692307694,0.1829358381283011,0.39580638353881975,29.280184159171768,-1413.570045991597,189.00000000001455,568.5618962883178,14,True
42S,1,29,8,0.27586206896551724,0.14698755102087954,0.45717132416865935,61.66336971021883,-511.0494698750954,197.39135419291415,523.1298625972602,13,False
62,1,161,44,0.2732919254658385,0.210339067489212,0.3468111754032294,-2987.4063175320443,-3782.697591309363,-32.17885762294463,841.7677853538262,17,True
46,0,285,77,0.27017543859649124,0.2219313664225873,0.32453263311938413,-29.000000000021828,-69.00000000005821,40.880560921094,882.5289669237333,9,True
38A,0,143,38,0.26573426573426573,0.20015504552784694,0.343570544383292,-11.00000000003638,-83.95704830002796,58.39402419124963,678.3996200511297,10,True
54,0,85,22,0.25882352941176473,0.1775809987247225,0.3609227522914671,154.1091428638174,124.07088536914671,206.61971592604823,507.85467917618956,11,True
OC2,0,425,108,0.2541176470588235,0.21505615244807577,0.29758425182919246,42.99999999991269,0.9999999996944098,78.09694549584674,792.4058804080182,14,True
22,0,294,74,0.25170068027210885,0.20551188845928084,0.3042944340785945,142.0164524115189,102.72164784728974,159.25135552433494,452.3264738992715,19,True
31,1,130,32,0.24615384615384617,0.18009792380442396,0.32678133034044127,-68.84025864342402,-2288.3693491080408,53.29779525302729,809.2693969271929,17,True
67,1,58,14,0.2413793103448276,0.14958874356669494,0.3652998025301342,-75.81433343358549,-485.49719330413063,144.0077167355994,627.3455334112522,17,True
52,1,59,14,0.23728813559322035,0.14694618592462405,0.35974890706402746,32.99999999979627,-103.99999999857391,105.57855944928997,534.2755683139906,16,True
32,0,186,43,0.23118279569892472,0.17640507161349842,0.2968395999076453,89.00798650812067,62.465735834139196,144.5846973567759,654.6359696526379,9,True
43.2,0,39,9,0.23076923076923078,0.1264580412514285,0.3833625722834177,151.09300339236506,50.7033969051372,211.80558301802375,452.3202093007189,13,False
OC1,1,141,32,0.22695035460992907,0.16559523090668993,0.30278902435463123,64.29166700124551,-12.40042219841962,136.2101736218574,547.9999999998981,16,True
53,0,1100,238,0.21636363636363637,0.1930397358272833,0.24166169252216477,81.49999999972351,63.52973102652959,97.8916105988466,514.1476662624693,14,True
33,0,285,59,0.20701754385964913,0.16402641625643574,0.25780173583142085,42.99999999994179,1.6003109307494015,68.51004684157851,638.2981967891259,8,True
52,0,393,78,0.1984732824427481,0.16204182467100206,0.24074234837306413,87.88489779049996,36.881748081992555,114.59627867401286,509.1190495568641,17,True
61,1,61,12,0.19672131147540983,0.11627802231427167,0.31309940575507544,-277.1992988960592,-352.54753116572465,-112.04459755904463,757.3780598657759,16,True
39A,0,689,127,0.18432510885341075,0.15715002771426415,0.21500070827023324,-83.05781174216827,-108.10109367060795,-59.000000000298314,580.1461761490415,17,True
34A,0,472,85,0.18008474576271186,0.14804545841702246,0.2172893723300411,59.69416204510708,45.84656135134785,85.12025807113696,477.0849303623861,14,True
26A,1,85,15,0.17647058823529413,0.10996363561495573,0.2709560303823717,-2012.8350456924163,-2726.8511663631143,-1571.4572936043623,570.3231160250044,17,True
45,0,1021,180,0.1762977473065622,0.15414883906365967,0.2008733506508098,61.12881473555535,44.83295215013641,71.49999999990905,449.2460933613838,16,True
15,0,451,79,0.17516629711751663,0.14286993485123714,0.21294956155156258,107.77677461387793,91.87911947191242,134.02842696145308,457.25156564590725,19,True
40,1,58,10,0.1724137931034483,0.096442926629388,0.2890825650932622,-3960.399640559717,-4281.9231685939885,-3677.0000000002874,520.4840614888003,11,True
37,0,124,21,0.1693548387096774,0.1135197200246242,0.24506081592646908,41.23788654808777,-8.907027090643169,105.5879872634523,437.69363240426475,10,True
52A,0,126,20,0.15873015873015872,0.10516625713947375,0.2324875186182172,53.25000000003638,25.456399831018643,121.84799002926229,380.2097163088383,13,True
42T,0,345,51,0.14782608695652175,0.11425739148075573,0.1891510943640906,94.24743029433739,72.17958929148153,123.78063864648175,347.92136587501153,19,True
41JB,0,702,101,0.14387464387464388,0.11984898470996262,0.17177664346525104,55.54694486449716,33.669891961710164,72.00844369337756,360.2363577030537,18,True
48,0,391,53,0.13554987212276215,0.10514579605810752,0.17304550418874795,-87.60766456723286,-116.22534359462043,-60.00778179732151,451.0776617119918,9,True
OC3,0,502,68,0.13545816733067728,0.10827636753073835,0.1681767708630914,-37.858112301770234,-65.63449830314858,-8.462696904460884,409.79999999984216,15,True
33,1,67,9,0.13432835820895522,0.07231091664295487,0.2360037226133703,-2778.9999999990323,-3753.047894224648,-157.03529370024262,494.53697660849787,8,True
44,0,591,76,0.12859560067681894,0.10398627610081365,0.15800195035814626,63.000000000945874,51.00000000041473,79.00000000037471,379.28620629445504,14,True
32,1,39,5,0.1282051282051282,0.05602817536971394,0.26705743379745456,-3078.50729374247,-3665.7161312805038,-1370.2117563023858,375.2199478715155,8,False
41BC,0,662,84,0.1268882175226586,0.10366753184024553,0.1544141128879925,39.937686756427865,23.20494059254843,57.40124468976501,323.2851195513511,18,True
36,0,565,69,0.12212389380530973,0.09764774776408468,0.15170373079156735,-38.94284749183862,-55.99999999890133,-18.974041405916573,340.92038812141544,14,True
61,0,995,117,0.11758793969849246,0.09902821138901867,0.13908911616114863,-174.5551427466762,-200.27779061742694,-143.6276955920435,370.24246435607495,17,True
49.2,1,60,7,0.11666666666666667,0.0576772064005603,0.2217878802417086,-2669.9466113772723,-2814.0199609660035,-2414.4545450582154,391.72052795562865,15,True
OC1,0,553,64,0.11573236889692586,0.09168077231835764,0.145085827460176,-53.53751769579321,-70.90110819374968,-36.99681111945007,372.62782056245345,17,True
41JB,1,37,4,0.10810810810810811,0.04285189940411472,0.24708531544126025,-126.26055267839183,-318.69072374850657,19.574792169762077,299.06905853418556,16,False
26,1,122,13,0.10655737704918032,0.06333699612142842,0.17379835736500795,-1242.458530989652,-1402.837167861995,-1005.1161278286854,517.3202609512998,16,True
49.1,1,96,10,0.10416666666666667,0.057571532417443415,0.18122164130321655,-2666.818885033539,-2885.7716534341635,-2066.4647514386525,298.30250670610985,17,True
37,1,48,5,0.10416666666666667,0.0453217190418131,0.2216742169438633,-3465.9628260423615,-3853.733904018154,-2793.9999999997453,139.39026551815024,7,False
41BC,1,31,3,0.0967741935483871,0.03346464416319737,0.24899938443392836,-125.33911340729173,-333.25420605204636,-26.84814981645468,236.02323894336587,14,False
42S,0,394,38,0.09644670050761421,0.07107504194892549,0.12961158095197842,18.106144910232615,-0.04760607962452923,45.85615161899477,280.2442448220041,19,True
48B,0,11,1,0.09090909090909091,0.01623217288588484,0.37735843645159567,51.99999999988722,-48.000000000047294,202.00000000010914,254.6784359661051,3,False
67,0,1522,128,0.08409986859395532,0.07118199157137857,0.09911188615660159,-23.64110328138122,-35.547654480662594,-14.90592505480781,255.79596340888457,20,True
35,0,414,34,0.0821256038647343,0.05936322530672503,0.11257150568779566,-114.50000000000182,-136.61380119933528,-97.29600310604702,242.3118797160554,11,True
40,0,351,27,0.07692307692307693,0.05340205008536267,0.10960443459353768,-66.27283146102127,-84.854942878168,-43.97291393954388,234.77318847899733,14,True
28,0,172,13,0.0755813953488372,0.04469943282297831,0.125007182561301,78.33628946629324,53.97100302351464,92.42162346000896,288.288064802052,14,True
60,0,232,16,0.06896551724137931,0.042893251582002086,0.10907942955691387,-263.8968907434173,-321.08457147837544,-216.0306429182274,213.05079488320445,19,True
24,1,117,8,0.06837606837606838,0.03505171056757551,0.12914242457717726,-2246.956196654315,-2405.8498824693306,-1970.7898984769663,-173.4111875539155,17,True
42T,1,16,1,0.0625,0.011119344764642517,0.2832873757029894,34.00653158060595,-79.161467957274,145.24932697032636,276.88923452895324,11,False
53,1,115,7,0.06086956521739131,0.029795116013329806,0.12033312204215384,-1905.000000000422,-3005.577944217919,-459.5500000000342,133.59999999995355,14,True
22,1,26,1,0.038461538461538464,0.006821984993543487,0.18892778903034757,-2879.300722754142,-3397.3658123469104,-2409.3561637747553,-709.3218713205024,7,False
15,1,54,2,0.037037037037037035,0.010216367948445581,0.12535176917275476,-842.561999934529,-1313.4082731166345,-271.12190497568076,32.51153804513963,17,True
21,1,31,1,0.03225806451612903,0.005717221525416823,0.16194105164724906,-2042.7121176767323,-2293.788188455095,-1515.5614916777595,-402.7132311547466,13,False
57,0,556,17,0.030575539568345324,0.019176041921780233,0.04841712793814252,-441.70412638127436,-468.3561950793281,-417.2616436341161,93.32490545858127,16,True
34B,0,347,5,0.01440922190201729,0.006170048044081038,0.03328212749760183,-161.99999999935972,-182.26068780795322,-132.22116740216734,95.72981746195592,14,True
OC3A,0,21,0,0.0,-1.1731740316366828e-17,0.154639018924847,-249.20742070748383,-308.54118015710264,-113.54210828414216,-15.636965156139922,9,False
54,1,16,0,0.0,0.0,0.1936076805344365,62.02628407652446,-22.025313529882624,157.71388874883996,211.64976763722734,9,False
61.0,0,1,0,0.0,0.0,0.7934506856227626,16.501448630500818,,,16.501448630500818,1,False
28,1,13,0,0.0,0.0,0.22809537235419838,-831.923251323049,-891.5332414211152,-594.680098171455,-452.8893065688957,6,False
67.0,0,11,0,0.0,0.0,0.2588329669680317,-83.03869727236452,-126.09026803697452,5.5119744063704275,28.890391423370602,3,False
34B,1,2,0,0.0,0.0,0.6576197724933469,-843.8251145708728,,,-320.70739649172356,2,False
36.0,0,1,0,0.0,0.0,0.7934506856227626,-191.00000000026193,,,-191.00000000026193,1,False
45.0,0,1,0,0.0,0.0,0.7934506856227626,-106.37997718303086,,,-106.37997718303086,1,False
