line_id,n_trips,n_delayed,delay_rate,wilson_lo,wilson_hi,median_delay_sec,median_ci_lo,median_ci_hi,p90_delay_sec,n_days,enough
22,320,75,0.234375,0.191281819159771,0.28376995271936234,114.74797351190136,78.33500624041335,148.24552112239326,449.7063506954168,19,True
43.2,39,9,0.23076923076923078,0.1264580412514285,0.3833625722834177,151.09300339236506,50.7033969051372,211.80558301802375,452.3202093007189,13,False
54,101,22,0.21782178217821782,0.1484768126890009,0.30784513626933374,145.44085925102263,113.50000000064028,192.43589025918118,494.00000000027103,11,True
32,225,48,0.21333333333333335,0.16485089071506456,0.27144006519482433,65.6080243041306,34.753241036516556,105.0000000001728,631.9999999999562,9,True
OC3,626,133,0.2124600638977636,0.18222036083791784,0.2462072300131851,6.449475525812886,-29.01269148972378,36.42003517141711,647.8129315802944,15,True
52,452,92,0.20353982300884957,0.16899245144117475,0.24308384216024126,80.86183179312684,35.40060259976235,106.24564036671563,522.1899624539012,17,True
53,1215,245,0.20164609053497942,0.1800416824901657,0.22513116033265465,60.000000000422006,43.99999999985448,79.49999999965803,505.20912810082433,14,True
45,1266,253,0.19984202211690363,0.1787372885813273,0.2227628004882055,50.607403833722856,34.431087832785124,65.81207007335524,565.4999999997162,16,True
33,352,68,0.19318181818181818,0.1553410002758125,0.23764709977342657,5.706470217213791,-31.632781014675857,48.882135700952475,571.4806407203041,8,True
34A,537,103,0.19180633147113593,0.16074124596589806,0.22724945888549,58.115616054736165,44.180768858714146,83.30265429974315,493.9999999998183,14,True
52A,137,26,0.1897810218978102,0.13293131735242586,0.26355320707859503,63.01205249190389,30.681450414311257,137.53141648057135,510.2934270180442,13,True
35,521,98,0.18809980806142035,0.15687152101970067,0.2238938614821561,-53.57798189703317,-94.20567397251524,-21.472881119127123,551.9999999995198,11,True
36,692,123,0.1777456647398844,0.15106399505582574,0.2079854057144635,-25.19184314634549,-44.7374142252293,-8.003553375601768e-11,515.2738676898443,14,True
15,505,81,0.1603960396039604,0.13097161528378512,0.1949480910330963,87.78733929096052,67.83364591545251,105.17045228346251,437.1417535417693,19,True
37,172,26,0.1511627906976744,0.105293241276065,0.21227383986169884,-60.2499999998945,-126.90044333028227,14.051658679439761,408.7000000027827,11,True
44,650,96,0.1476923076923077,0.12248853614972284,0.17703584576072529,63.00000000068212,49.33758543995464,79.50000000027735,445.15388006496164,14,True
42T,361,52,0.1440443213296399,0.11156736444602958,0.1840170769967785,89.94989885159885,66.5937221252243,112.40585730347084,347.49746383053207,19,True
41JB,739,105,0.14208389715832206,0.1187596560072195,0.16910992407811987,50.64890921898768,26.950875849757722,67.402840953333,360.3261456148146,18,True
OC1,694,96,0.138328530259366,0.11462707163706948,0.1660118275645533,-42.678351757408564,-62.45064449626443,-27.999999999738066,429.3634465822857,17,True
41BC,693,87,0.12554112554112554,0.10291844583497296,0.15229234360580704,35.32153826339709,16.367491804923702,53.18037173812627,323.2595571004,18,True
61,1056,129,0.12215909090909091,0.10376601334635253,0.1432911824648494,-178.99985905305311,-205.75881169843888,-150.39698034050886,379.4417752684658,17,True
42S,423,46,0.10874704491725769,0.08252493477719615,0.14201149869271854,18.6638129622188,-0.000509120844071731,47.68064565968598,320.093033397144,19,True
48B,11,1,0.09090909090909091,0.01623217288588484,0.37735843645159567,51.99999999988722,-48.000000000047294,202.00000000010914,254.6784359661051,3,False
40,409,37,0.09046454767726161,0.06634430672021384,0.12220618199051987,-81.38199825102129,-118.2055872971323,-60.362290170261986,278.8717152447381,14,True
67,1580,142,0.08987341772151898,0.07674799787979183,0.10498828463614682,-23.960222387460817,-36.180897312581735,-15.04979149387179,270.62291709647405,20,True
60,243,20,0.0823045267489712,0.05390941280580556,0.12370037377603682,-266.4321731008349,-324.5756714251256,-220.34814439865295,238.09491946512364,19,True
28,185,13,0.07027027027027027,0.04152295900807137,0.1165009146002592,64.88692530927074,43.650262946786825,85.76819635759239,272.48844084247736,14,True
57,556,17,0.030575539568345324,0.019176041921780233,0.04841712793814252,-441.70412638127436,-468.3561950793281,-417.2616436341161,93.32490545858127,16,True
34B,349,5,0.014326647564469915,0.006134602004537694,0.033093948027413146,-166.20507920105956,-182.26068780795322,-133.99999999965803,95.16902490927457,14,True
61.0,1,0,0.0,0.0,0.7934506856227626,16.501448630500818,,,16.501448630500818,1,False
67.0,11,0,0.0,0.0,0.2588329669680317,-83.03869727236452,-126.09026803697452,5.5119744063704275,28.890391423370602,3,False
36.0,1,0,0.0,0.0,0.7934506856227626,-191.00000000026193,,,-191.00000000026193,1,False
45.0,1,0,0.0,0.0,0.7934506856227626,-106.37997718303086,,,-106.37997718303086,1,False
