lead,follow,r_same_hour,r_lag1
41JB,67,0.008376400807394093,-0.03457948636377334
41JB,OC1,0.12537130210086941,0.1107726099655513
41JB,OC2,0.2945850346904088,-0.025586433407116232
41JB,OC3,0.18356172640127713,0.22034879872048974
42S,15,-0.29846117673859174,0.21293317252767774
42S,31,0.30877869384170625,0.1389763942041126
42S,39A,0.3698350037040962,0.2925934762080217
42S,41BC,-0.12043779191427276,-0.13191817245924148
42S,41JB,0.032485152891669526,-0.1893752184942549
42S,44,0.10413152583311157,0.2560183363549602
42S,45,-0.17781220314839244,-0.19498355159177425
42S,49.2,-0.10194313511557533,-0.050236913540134605
42S,53,-0.045714292325222936,-0.012797934527198216
42S,57,0.1954668711727664,0.23444344277655566
42S,61,-0.009416760030618983,-0.16397475445099544
42S,62,0.018262913708707848,-0.07652798619287536
42S,67,0.04981599001689771,-0.1110672959194403
42S,OC1,0.19997588899601576,-0.10468742517828043
42S,OC2,0.2184578499608186,0.17943523157454272
42S,OC3,0.4486277492592568,-0.344053655251985
44,15,0.10774991281044308,-0.06466917574018297
44,31,0.3349282729845682,-0.09710031641607744
44,33,0.004361186700643722,-0.22441408214015626
44,34A,0.2848540144254877,0.15489984160801884
44,35,0.41027851909572166,0.4238638708348843
44,36,0.17637049697968796,0.07134853022258905
44,39A,0.43378432053300886,0.17483915360219546
44,41BC,-0.0848519306238074,0.09819430204196673
44,41JB,0.11871741482964496,0.029701433959176633
44,42S,0.10413152583311155,0.010601620350493229
44,45,0.19302459904162975,0.10826288355683403
44,46,0.4488561017979744,0.5874836654761486
44,48,0.11260446429756378,0.36806317130157934
44,49.2,0.2085095657448956,0.16938901779127452
44,53,0.2751947882191945,0.03796364088524507
44,57,0.2584226239815688,0.306909832278895
44,61,0.14226155036085913,0.02260120142788188
44,62,0.3973237898975418,0.12126779731772865
44,67,0.11279041420403475,-0.02948313012712475
44,OC1,0.17289736736661027,0.06636463831692004
44,OC2,0.2521545184438953,0.3550040313833678
44,OC3,0.07079677060264135,0.2964356843746532
45,15,-0.07781373999391974,-0.22457060540612717
45,31,0.2704696970979528,0.18966857785664779
45,33,-0.15715082006128295,-0.15177025519195447
45,34A,0.34128475962076843,0.3239664485652087
45,35,0.1991215073469562,-0.0692538834685757
45,36,0.06372187907538712,0.14983556453794708
45,39A,0.3481329725150652,0.25810272831127473
45,41BC,0.09211974620472628,0.16666035640736052
45,41JB,0.09369623584970904,0.09754246175754328
45,42S,-0.17781220314839244,0.15295275731556068
45,44,0.19302459904162977,-0.06906335477399875
45,46,0.3947389768645174,0.32046550398829493
45,48,0.49188477882471515,0.5674010962194477
45,49.2,0.17922010571286806,0.11328878001661145
45,53,-0.07833798773430933,0.0490005319480935
45,57,0.23224884642022472,-0.04907227865892517
45,61,0.10649994382833139,0.12674181874662044
45,62,0.1882565356206742,0.1955044784886854
45,67,-0.052113686987296196,0.021954374234055017
45,OC1,0.06975061210096799,0.007365601652904904
45,OC2,0.24250076523092734,0.26891575364941195
45,OC3,0.21574409380877776,0.09008845212477745
46,35,0.5186064895894169,0.45922495721276707
46,36,0.4871138763149181,0.34161506582860507
46,39A,0.41104699644430714,0.5900051722644387
46,44,0.44885610179797447,0.4263688254846381
46,45,0.3947389768645174,0.24849816609456302
46,48,0.5793653893371604,0.47600540492562715
46,49.2,0.6113858230680312,0.6261706106005135
46,53,0.6266899028282942,0.6437833416137508
46,61,-0.21989966551871792,0.10709285763051803
46,62,0.6971673369814099,0.5204434169630845
46,67,-0.09131136164291048,0.23031771283425884
46,OC3,0.6956347739659042,0.8401640560033214
48,31,0.4348176076654452,0.05479742209049729
48,33,-0.11811069236986199,0.3732591317754617
48,35,0.5780928215127765,0.37915633904301804
48,36,0.09578229164566555,-0.05691886152961561
48,39A,0.3272440589055696,0.2503045939757738
48,41BC,0.1175727929457297,0.022785552665395482
48,41JB,-0.03417094511997906,0.18704879989565526
48,44,0.11260446429756378,0.4615993935497839
48,45,0.4918847788247152,0.11217510251938101
48,46,0.5793653893371604,0.36193414208887315
48,49.2,0.28102725347272633,0.07173684889757675
48,53,0.5036291562327929,0.5111742839064759
48,61,0.2738563681562175,0.5464618204677324
48,62,0.28940909947028565,0.33805992856455647
48,67,-0.09958077443836665,0.26033182057446197
48,OC1,0.06971047740091829,0.33481181265287374
48,OC2,0.29761270147492563,0.4506033009428157
48,OC3,0.795317242044778,0.5833804602721709
49.2,15,0.14139954388160086,0.1129898189060049
49.2,31,0.08570742725374032,-0.12711593254349135
49.2,33,0.1553561010328312,0.21879328785965133
49.2,34A,0.469854386001105,0.4120111399993471
49.2,35,0.11606472232820353,0.10045811305863693
49.2,36,0.22250045471724483,0.13597347568917462
49.2,39A,0.14098097362400577,0.09565980471279342
49.2,41BC,0.1463338733938101,0.026967262902192375
49.2,41JB,0.11528100754427718,0.15387481688580745
49.2,42S,-0.10194313511557535,0.06494879471927448
49.2,44,0.2085095657448956,0.07378915423734016
49.2,45,0.1792201057128681,0.05125374446600021
49.2,46,0.6113858230680312,0.41375437055736136
49.2,48,0.28102725347272633,0.19207775044219408
49.2,53,0.34786037532024905,0.271838348915665
49.2,57,0.01730746416425072,0.32541698445091255
49.2,61,0.14870235769816376,0.01174219874753672
49.2,62,0.406421790218615,-0.019149610372335243
49.2,67,0.203283672770415,0.07404104099362008
49.2,OC1,0.14594974700892158,-0.0214432236006273
49.2,OC2,0.04669803233997274,0.00990783879002824
49.2,OC3,0.19634878825964072,0.22872532763399953
53,15,0.07572611715659953,-0.025516497471435386
53,31,0.1061165320531237,-0.14102020174885158
53,33,0.0625471589655066,0.14673679080012908
53,34A,0.2551588363609758,0.024484669751639737
53,35,0.49242424829813325,0.4064744086375655
53,36,0.19819744442313889,0.3105089500056449
53,39A,0.06605666933732067,0.2528583359752037
53,41BC,0.03974768789998111,0.14753649972942293
53,41JB,0.2098151129387578,0.16966514610908642
53,42S,-0.045714292325222936,0.3739387729487867
53,44,0.2751947882191946,0.29644943659557216
53,45,-0.07833798773430933,0.03467930273238212
53,46,0.6266899028282942,0.5184293774265708
53,48,0.5036291562327928,0.349944814297859
53,49.2,0.34786037532024905,0.21994877425884068
53,57,0.24025007074914392,0.21151602620643958
53,61,0.15374545784833496,0.15156065526128862
53,62,0.28913090096053695,0.2958952044155904
53,67,0.2170774086982659,0.039802900626998726
53,OC1,0.0663384424791006,-0.08470820450079826
53,OC2,0.12905544240417702,-0.0298259425263422
53,OC3,0.3168850601568522,0.2779569447396498
57,31,0.08845023966124349,0.022822923607346148
57,34A,0.37396632976353356,0.45706738753595505
57,35,0.33849567544498377,0.19203112982340034
57,36,-0.07941922291451005,0.2744271901383462
57,39A,-0.11832499688770899,-0.08636034929601767
57,41BC,-0.051201282788348075,0.22656791948987268
57,41JB,0.012937538558407551,0.006043003956030128
57,44,0.2584226239815688,0.1979141775948658
57,45,0.23224884642022475,-0.054496428632773014
57,49.2,0.01730746416425072,0.045806348633186736
57,53,0.2402500707491439,0.25336390008634024
57,61,0.03193312947744097,-0.1156881052975557
57,62,-0.136554459067645,0.13319631332195592
57,67,0.0006741180290578723,-0.047741417093622014
57,OC1,-0.023829739131466063,-0.1847322435120045
57,OC2,0.13899670145913187,-0.17547517979470767
57,OC3,-0.2651715585928355,-0.17569592657614178
61,15,0.048323096078538644,-0.02302131737812239
61,31,0.1387292929579475,0.1964159242569388
61,33,0.07224141946987285,-0.09710493164134437
61,34A,0.37860525354460034,0.36296328082602525
61,35,0.2965121659038544,0.2699485109892167
61,36,0.007116507741267086,0.055130960565811474
61,39A,0.11837853363104486,0.08805597384811824
61,41BC,0.13258257312869126,0.0031690935445176597
61,41JB,0.0058308043267864505,0.18648067034293903
61,42S,-0.009416760030618981,-0.12730887620967643
61,44,0.14226155036085913,0.33594547097252603
61,45,0.10649994382833139,0.15314601536282804
61,48,0.2738563681562175,-0.05077960476612705
61,49.2,0.14870235769816376,0.08645321982063454
61,53,0.15374545784833496,0.09433351908727593
61,57,0.03193312947744097,0.011773991194614362
61,62,0.21187100919058402,0.02113553277493756
61,67,0.011361518461387887,0.029337284719775328
61,OC1,0.0978241942369002,0.15245166123463474
61,OC2,0.038425903547266604,0.13902019474469643
61,OC3,0.150086646890437,-0.049282840457551026
62,15,0.04963454742351081,-0.04263976005887298
62,31,0.1907727012269673,0.1364033177868552
62,33,0.21103646918033683,-0.16416942144356664
62,34A,0.45483471777407675,0.41870122039978436
62,35,0.1354924801917249,0.04732599378439945
62,36,0.3459757464754659,0.3622238170497754
62,39A,0.25719896941496745,0.1577943938348099
62,41BC,-0.0005589682264615556,0.025483426346200225
62,41JB,0.010172345459982456,0.24019359012113484
62,42S,0.018262913708707848,0.017507372592729036
62,44,0.39732378989754175,0.2837324961806353
62,45,0.18825653562067424,0.1159368585393033
62,46,0.6971673369814098,0.5175411729110726
62,48,0.28940909947028565,0.30349440605136235
62,49.2,0.4064217902186151,0.4507099813066294
62,53,0.28913090096053695,0.2719364252235055
62,57,-0.136554459067645,0.3442645369022445
62,61,0.21187100919058402,0.1680702452121015
62,67,0.16132196745258368,0.06776149863077291
62,OC1,0.21179228738540437,0.29946981255934146
62,OC2,0.33388590872348833,0.2910353958446878
62,OC3,0.2558657492349165,0.24816530556802
67,15,-0.14271740244195613,-0.14361153556880082
67,31,0.13615463468167938,-0.039649208147030164
67,33,0.3902978449005935,0.35265655259245404
67,34A,0.10278639949520119,0.043656693324518256
67,35,0.2118700841221231,0.05537814784942006
67,36,0.028181653448923778,0.14142867603703363
67,39A,0.1439892876293601,0.3668214297862454
67,41BC,0.050899815987392565,-0.08510257249288569
67,41JB,0.008376400807394093,0.06361514661222807
67,42S,0.04981599001689771,0.24223072525812242
67,44,0.11279041420403474,0.19338012925917974
67,45,-0.052113686987296196,-0.013374565209900855
67,46,-0.0913113616429105,0.10316721622571279
67,48,-0.09958077443836665,0.047124511370697196
67,49.2,0.203283672770415,0.12439269391356039
67,53,0.2170774086982659,-0.03408089764110696
67,57,0.0006741180290578723,-0.07408099513161936
67,61,0.011361518461387889,-0.06659573292685454
67,62,0.1613219674525837,0.0325752282533428
67,OC1,0.25588318733255205,0.09612843697946118
67,OC2,0.18839248645093915,0.2884891233620331
67,OC3,0.31793294976739794,0.19499343664222019
OC1,15,0.006593395223769867,-0.0868434954675113
OC1,31,0.2850907768517992,0.217922703365413
OC1,34A,0.1263188090170911,0.08004528529514017
OC1,35,0.1667418463749899,0.2541054039620208
OC1,36,0.013155814333611897,0.15779629126032813
OC1,39A,0.26566882873323233,0.24938272566831823
OC1,41BC,-0.2154710006255262,0.12639576426198865
OC1,41JB,0.12537130210086944,0.038826332571795026
OC1,42S,0.19997588899601576,0.1889870142500529
OC1,44,0.17289736736661027,0.19520114008959624
OC1,45,0.06975061210096799,0.08179660317445922
OC1,48,0.06971047740091829,0.27313938085883915
OC1,49.2,0.14594974700892158,0.004826071109471686
OC1,53,0.0663384424791006,0.001239094971925986
OC1,57,-0.023829739131466063,0.2850253965938304
OC1,61,0.0978241942369002,-0.01053988347803145
OC1,62,0.21179228738540437,0.0098743654274299
OC1,67,0.25588318733255205,0.16328195034852203
OC1,OC2,0.10255256956046913,0.01797899885096461
OC1,OC3,0.22378042473139267,0.06735858156523725
OC2,15,-0.16530160382737683,-0.2670074980830508
OC2,31,0.44538332219012,-0.07453140796606926
OC2,34A,0.2381231833431145,0.19329197387927455
OC2,35,0.41492691891586037,0.2861127739980995
OC2,36,0.24778945192442728,0.2376222135694329
OC2,39A,0.2226032395150615,0.4741963553253556
OC2,41BC,0.1497994178174601,0.21690722135254986
OC2,41JB,0.2945850346904088,0.3574054442289889
OC2,42S,0.2184578499608186,-0.07160927076022866
OC2,44,0.2521545184438953,0.047104129559185956
OC2,45,0.24250076523092737,0.15233419913364943
OC2,48,0.2976127014749256,0.07215793322789917
OC2,49.2,0.046698032339972745,-0.21130395297431592
OC2,53,0.12905544240417705,-0.06847278843292573
OC2,57,0.13899670145913184,0.2541416590718491
OC2,61,0.03842590354726661,-0.04095755114656689
OC2,62,0.3338859087234884,-0.10100544849054072
OC2,67,0.18839248645093917,0.3152502701154404
OC2,OC1,0.10255256956046913,0.11041269477266091
OC2,OC3,0.3150813972036831,0.3404961705483047
OC3,15,0.015882174439372874,0.09691902225411203
OC3,31,0.1736999370987081,0.16728863883736156
OC3,34A,0.041822673576107576,0.10892998910752873
OC3,35,0.3349078323573041,0.37675630607936156
OC3,36,0.21920501885361837,0.20354560336101918
OC3,39A,0.39380795084909587,0.4803304967566153
OC3,41BC,0.12905081880439492,0.07923328393243595
OC3,41JB,0.18356172640127713,0.2406494723166699
OC3,42S,0.4486277492592568,0.16583730705220712
OC3,44,0.07079677060264135,0.21749046172950304
OC3,45,0.21574409380877776,0.06137019645351692
OC3,46,0.6956347739659042,0.45178834136558116
OC3,48,0.795317242044778,0.42682925667795996
OC3,49.2,0.19634878825964072,-0.008369829884548926
OC3,53,0.31688506015685214,0.23640693050220035
OC3,57,-0.2651715585928355,0.03079062379480407
OC3,61,0.150086646890437,0.31738247162375594
OC3,62,0.2558657492349165,-0.06020401148084775
OC3,67,0.3179329497673979,0.1800566885804587
OC3,OC1,0.2237804247313927,0.27751126945616894
OC3,OC2,0.31508139720368306,0.3336778789250554
