date,trip_id,n_vehicles,points_kept,points_total,kept_span_sec,union_span_sec,span_ratio,overlap_sec,overlap_frac_of_kept,line_id,hour
2026-03-11,1399122_U_5,3,351,725,6021.0,11908.0,0.5056264696002687,0.0,0.0,38A,5
2026-03-11,1399122_U_9,2,406,808,6081.0,12116.0,0.5018983162759987,0.0,0.0,38A,5
2026-03-11,1364748_U_69,3,373,546,5584.0,61476.0,0.09083219467759776,0.0,0.0,36,20
2026-03-11,1374663_U_2,2,512,635,7672.0,46464.0,0.16511707988980717,0.0,0.0,48,5
2026-03-11,1374663_U_60,2,643,697,9833.0,10825.0,0.9083602771362587,0.0,0.0,48,5
2026-03-11,1374663_U_9,2,590,675,8843.0,9955.0,0.8882973380210949,166.0,0.018771909985299106,48,6
2026-03-11,1399122_U_25,2,591,877,9264.0,13557.0,0.6833370214649259,0.0,0.0,38A,6
2026-03-11,1374663_U_65,2,528,659,8001.0,9983.0,0.8014624862265852,0.0,0.0,48,6
2026-03-11,1399122_U_33,2,490,950,8542.0,15899.0,0.5372664947480974,0.0,0.0,38A,6
2026-03-11,1374663_U_16,2,659,696,9955.0,40399.0,0.2464169905195673,0.0,0.0,48,6
2026-03-11,1407495_U_17,2,320,438,4804.0,30491.0,0.15755468826866945,0.0,0.0,22,13
2026-03-11,1399122_U_29,2,529,929,7943.0,13946.0,0.5695539939767675,0.0,0.0,38A,6
2026-03-11,1481779_U_113,2,432,699,6469.0,50591.0,0.1278685932280445,0.0,0.0,67,6
2026-03-11,1374663_U_78,3,667,707,10012.0,11484.0,0.8718216649251131,0.0,0.0,48,6
2026-03-11,1399122_U_42,2,514,1007,8511.0,15506.0,0.5488843028505095,404.0,0.04746798261073904,38A,8
2026-03-11,1379485_U_46,2,250,394,3947.0,5690.0,0.6936731107205624,435.0,0.11021028629338739,53,7
2026-03-11,1379485_U_142,2,216,335,3497.0,5899.0,0.5928123410747584,0.0,0.0,53,7
2026-03-11,1379485_U_27,2,380,384,5690.0,15388.0,0.3697686508968027,0.0,0.0,53,9
2026-03-11,1379485_U_16,2,378,380,5659.0,14844.0,0.3812314739962274,0.0,0.0,53,9
2026-03-11,1431265_U_97,2,268,290,4008.0,4158.0,0.963924963924964,165.0,0.04116766467065868,49.2,7
2026-03-11,1407495_U_18,2,388,504,5808.0,33702.0,0.17233398611358378,0.0,0.0,22,14
2026-03-11,1413903_U_65,2,724,766,10854.0,37726.0,0.28770609128982666,0.0,0.0,OC3,14
2026-03-11,1374663_U_29,2,563,761,8453.0,11394.0,0.741881692118659,16.0,0.0018928191174730864,48,7
2026-03-11,1379485_U_114,3,189,381,2838.0,6530.0,0.4346094946401225,0.0,0.0,53,8
2026-03-11,1364751_U_87,2,460,588,7277.0,9229.0,0.78849279445227,0.0,0.0,46,7
2026-03-11,1411585_U_23,3,367,729,5510.0,10942.0,0.5035642478523122,0.0,0.0,35,8
2026-03-11,1379485_U_64,2,219,353,3530.0,5782.0,0.610515392597717,47.0,0.013314447592067988,53,8
2026-03-11,1411585_U_78,2,529,679,8212.0,10462.0,0.784935958707704,0.0,0.0,35,8
2026-03-11,1374663_U_34,3,236,673,3529.0,11004.0,0.32070156306797526,0.0,0.0,48,7
2026-03-11,1364751_U_26,3,771,895,13556.0,13556.0,1.0,1726.0,0.12732369430510476,46,7
2026-03-11,1374663_U_104,2,200,351,2987.0,5239.0,0.5701469746134759,16.0,0.005356545028456646,48,7
2026-03-11,1393827_U_143,2,191,247,2867.0,3738.0,0.7669876939539861,0.0,0.0,45,7
2026-03-11,1379485_U_74,2,277,337,4159.0,5450.0,0.7631192660550459,15.0,0.0036066362106275548,53,7
2026-03-11,1411585_U_3,2,443,549,7010.0,8601.0,0.8150215091268457,0.0,0.0,35,7
2026-03-11,1481779_U_90,2,411,506,6200.0,43161.0,0.14364820092212877,0.0,0.0,67,7
2026-03-11,1374663_U_43,2,363,673,5450.0,10104.0,0.5393903404592241,0.0,0.0,48,8
2026-03-11,1374663_U_3,2,365,583,5480.0,8813.0,0.6218086917054352,0.0,0.0,48,8
2026-03-11,1399122_U_2,2,834,1041,12776.0,15538.0,0.8222422448191531,347.0,0.02716030056355667,38A,8
2026-03-11,1364751_U_93,2,331,423,4969.0,7281.0,0.6824612003845626,0.0,0.0,46,8
2026-03-11,1399122_U_51,2,732,879,11605.0,14188.0,0.817944742035523,0.0,0.0,38A,8
2026-03-11,1407495_U_19,3,257,469,3843.0,36090.0,0.10648379052369077,16.0,0.004163413999479573,22,17
2026-03-11,1374663_U_74,2,209,313,3138.0,4699.0,0.6678016599276442,0.0,0.0,48,8
2026-03-11,1364751_U_24,2,694,702,10448.0,50246.0,0.20793695020499145,0.0,0.0,46,19
2026-03-11,1374663_U_24,2,265,355,3978.0,5570.0,0.7141831238779174,0.0,0.0,48,8
2026-03-11,1413904_U_32,2,637,681,9564.0,35432.0,0.26992549108150826,0.0,0.0,OC2,8
2026-03-11,1481779_U_114,2,399,744,6651.0,49136.0,0.13535900358189515,0.0,0.0,67,8
2026-03-11,1374663_U_55,3,457,765,7252.0,11786.0,0.615306295604955,376.0,0.05184776613348042,48,8
2026-03-11,1374663_U_92,2,213,255,3197.0,3828.0,0.8351619644723093,0.0,0.0,48,8
2026-03-11,1364746_U_61,2,400,490,5990.0,7401.0,0.8093500878259695,0.0,0.0,34A,8
2026-03-11,1407495_U_20,2,324,396,5329.0,39003.0,0.136630515601364,0.0,0.0,22,18
2026-03-11,1364751_U_44,3,836,1008,12836.0,14697.0,0.8733755188133633,195.0,0.015191648488625741,46,9
2026-03-11,1345046_U_2,2,504,640,7551.0,9594.0,0.7870544090056285,0.0,0.0,39A,8
2026-03-11,1364746_U_53,2,302,314,4517.0,7370.0,0.6128900949796472,0.0,0.0,34A,8
2026-03-11,1374663_U_10,3,430,788,6441.0,9233.0,0.6976064117838189,3648.0,0.5663716814159292,48,9
2026-03-11,1374663_U_63,3,166,230,2867.0,3347.0,0.8565879892440992,376.0,0.13114754098360656,48,9
2026-03-11,1379485_U_115,2,264,358,4130.0,5871.0,0.7034576733094873,0.0,0.0,53,9
2026-03-11,1379485_U_75,2,268,360,4670.0,6111.0,0.7641957126493208,45.0,0.009635974304068522,53,9
2026-03-11,1374663_U_17,3,282,638,4219.0,10014.0,0.4213101657679249,676.0,0.16022754207158094,48,10
2026-03-11,1413904_U_66,2,566,708,8573.0,10673.0,0.8032418251663075,16.0,0.001866324507173685,OC2,9
2026-03-11,1374663_U_111,3,106,200,1576.0,2927.0,0.5384352579432866,0.0,0.0,48,9
2026-03-11,1364751_U_49,3,382,491,5721.0,13452.0,0.4252899197145406,0.0,0.0,46,9
2026-03-11,1374663_U_85,2,198,310,2957.0,4789.0,0.6174566715389435,0.0,0.0,48,9
2026-03-11,1413904_U_3,2,502,745,7524.0,11200.0,0.6717857142857143,0.0,0.0,OC2,9
2026-03-11,1359254_U_41,2,458,777,6861.0,35370.0,0.19397794741306193,0.0,0.0,62,9
2026-03-11,1374663_U_25,2,252,256,3768.0,8963.0,0.42039495704563207,0.0,0.0,48,11
2026-03-11,1374663_U_93,2,448,548,6711.0,8212.0,0.8172187043351193,0.0,0.0,48,10
2026-03-11,1374663_U_79,2,486,584,7521.0,8992.0,0.8364101423487544,0.0,0.0,48,10
2026-03-11,1374663_U_61,3,231,363,3453.0,5644.0,0.6118001417434443,0.0,0.0,48,10
2026-03-11,1413904_U_72,2,638,652,9563.0,33178.0,0.28823316655615167,0.0,0.0,OC2,10
2026-03-11,1364748_U_65,2,140,172,2086.0,6560.0,0.3179878048780488,0.0,0.0,36,10
2026-03-11,1345046_U_16,2,392,698,5870.0,10854.0,0.5408144462870831,0.0,0.0,39A,10
2026-03-11,1374663_U_35,2,188,264,2809.0,3950.0,0.7111392405063292,0.0,0.0,48,10
2026-03-11,1379485_U_66,2,314,368,4728.0,5840.0,0.8095890410958904,0.0,0.0,53,10
2026-03-11,1345046_U_22,2,311,511,4654.0,7972.0,0.5837932764676367,0.0,0.0,39A,11
2026-03-11,1379485_U_76,2,308,362,4760.0,5720.0,0.8321678321678322,15.0,0.0031512605042016808,53,10
2026-03-11,1374663_U_30,2,434,684,6515.0,9878.0,0.6595464668961328,376.0,0.057712970069071376,48,11
2026-03-11,1399122_U_30,2,417,803,6244.0,11800.0,0.5291525423728813,225.0,0.0360345932094811,38A,12
2026-03-11,1364746_U_54,2,224,324,3348.0,6741.0,0.49666221628838453,0.0,0.0,34A,11
2026-03-11,1364746_U_62,2,257,433,4009.0,6290.0,0.6373608903020668,527.0,0.1314542279870292,34A,11
2026-03-11,1374663_U_4,3,234,278,3498.0,4849.0,0.7213858527531449,0.0,0.0,48,11
2026-03-11,1345046_U_76,2,233,253,5029.0,9323.0,0.5394186420680038,0.0,0.0,39A,12
2026-03-11,1364749_U_14,2,386,424,5780.0,8962.0,0.6449453247043071,0.0,0.0,44,11
2026-03-11,1413904_U_70,2,607,718,9097.0,29904.0,0.3042067950775816,0.0,0.0,OC2,11
2026-03-11,1374663_U_44,2,361,605,5435.0,9278.0,0.5857943522310843,0.0,0.0,48,12
2026-03-11,1399122_U_43,2,405,809,6741.0,12821.0,0.5257780204352235,0.0,0.0,38A,11
2026-03-11,1364748_U_90,2,292,486,4803.0,7295.0,0.6583961617546265,405.0,0.08432229856339787,36,11
2026-03-11,1413903_U_17,2,352,392,5270.0,25041.0,0.21045485403937542,0.0,0.0,OC3,11
2026-03-11,1441389_U_6,3,682,839,10239.0,10990.0,0.9316651501364878,2042.0,0.19943353843148745,60,11
2026-03-11,1374663_U_67,3,316,687,4744.0,11050.0,0.4293212669683258,0.0,0.0,48,13
2026-03-11,1345046_U_3,2,112,192,1666.0,2836.0,0.5874471086036671,16.0,0.009603841536614645,39A,11
2026-03-11,1345046_U_37,2,259,345,3873.0,5164.0,0.75,0.0,0.0,39A,12
2026-03-11,1364748_U_5,3,335,388,5208.0,6980.0,0.7461318051575931,0.0,0.0,36,12
2026-03-11,1374663_U_56,2,301,600,4503.0,8662.0,0.5198568459939967,316.0,0.07017543859649122,48,11
2026-03-11,1386442_U_22,2,350,394,5269.0,6290.0,0.8376788553259141,0.0,0.0,37,11
2026-03-11,1364748_U_50,2,417,638,6291.0,10074.0,0.6244788564621798,0.0,0.0,36,12
2026-03-11,1474792_U_19,2,94,135,2040.0,15371.0,0.13271745494762865,0.0,0.0,26,11
2026-03-11,1374663_U_70,2,350,665,5240.0,9999.0,0.5240524052405241,16.0,0.0030534351145038168,48,11
2026-03-11,1386442_U_27,2,302,396,5044.0,6141.0,0.8213645985995767,300.0,0.05947660586835844,37,11
2026-03-11,1393827_U_81,2,172,214,2569.0,3618.0,0.7100608070757325,0.0,0.0,45,12
2026-03-11,1379485_U_67,2,329,407,4926.0,6576.0,0.7490875912408759,0.0,0.0,53,12
2026-03-11,1364748_U_58,2,286,451,4279.0,7792.0,0.5491529774127311,0.0,0.0,36,12
2026-03-11,1379485_U_77,2,338,418,5930.0,7282.0,0.8143367206811316,135.0,0.022765598650927487,53,12
2026-03-11,1364748_U_66,2,295,501,4579.0,8242.0,0.5555690366415919,0.0,0.0,36,12
2026-03-11,1374663_U_80,2,282,539,4234.0,6246.0,0.6778738392571245,1833.0,0.4329239489844119,48,13
2026-03-11,1379485_U_105,2,277,397,4640.0,7432.0,0.6243272335844995,0.0,0.0,53,12
2026-03-11,1374663_U_26,2,261,405,3904.0,6065.0,0.6436933223413026,0.0,0.0,48,13
2026-03-11,1349260_U_17,2,251,385,5193.0,9277.0,0.5597714778484424,0.0,0.0,24,13
2026-03-11,1345046_U_77,2,179,347,2673.0,5194.0,0.5146322680015403,0.0,0.0,39A,13
2026-03-11,1364748_U_93,3,393,625,6635.0,10058.0,0.6596738914297077,0.0,0.0,36,13
2026-03-11,1364748_U_13,3,225,409,4143.0,7356.0,0.5632137030995106,0.0,0.0,36,13
2026-03-11,1364751_U_72,2,253,273,3783.0,31540.0,0.1199429296131896,0.0,0.0,46,20
2026-03-11,1364749_U_6,2,250,357,3737.0,4969.0,0.7520627892936205,359.0,0.09606636339309607,44,13
2026-03-11,1399122_U_38,2,366,460,5495.0,6906.0,0.7956849116710107,0.0,0.0,38A,13
2026-03-11,1379485_U_18,2,246,381,3679.0,5705.0,0.6448729184925504,0.0,0.0,53,12
2026-03-11,1374663_U_94,3,134,226,1997.0,3378.0,0.5911782119597395,0.0,0.0,48,13
2026-03-11,1411585_U_10,2,211,225,3153.0,3153.0,1.0,195.0,0.06184586108468126,35,12
2026-03-11,1429985_U_86,2,353,379,5299.0,27473.0,0.1928802824591417,0.0,0.0,49.1,13
2026-03-11,1364748_U_78,2,441,575,7160.0,9172.0,0.7806367204535543,0.0,0.0,36,13
2026-03-11,1345046_U_4,2,306,338,4595.0,5555.0,0.8271827182718272,0.0,0.0,39A,13
2026-03-11,1345046_U_71,2,321,323,4819.0,6591.0,0.7311485358822637,0.0,0.0,39A,13
2026-03-11,1345046_U_34,2,589,637,8825.0,29650.0,0.2976391231028668,0.0,0.0,39A,18
2026-03-11,1345046_U_38,2,637,663,9593.0,10224.0,0.9382824726134585,0.0,0.0,39A,13
2026-03-11,1364755_U_34,2,260,498,5119.0,8962.0,0.5711894666369114,0.0,0.0,55A,14
2026-03-11,1379485_U_39,2,345,455,5569.0,7011.0,0.7943232063899587,195.0,0.035015263063386606,53,13
2026-03-11,1379485_U_57,2,307,371,5332.0,6322.0,0.8434039860803543,0.0,0.0,53,13
2026-03-11,1379485_U_144,2,368,410,5524.0,6335.0,0.8719810576164168,0.0,0.0,53,13
2026-03-11,1364749_U_15,2,451,506,6769.0,7851.0,0.8621831613807158,0.0,0.0,44,13
2026-03-11,1364749_U_40,2,403,442,6050.0,7281.0,0.8309298173327839,0.0,0.0,44,13
2026-03-11,1364748_U_34,2,129,147,1921.0,2192.0,0.8763686131386861,0.0,0.0,36,13
2026-03-11,1429985_U_95,2,375,478,5630.0,26603.0,0.21163026726309062,0.0,0.0,49.1,13
2026-03-11,1411585_U_43,2,448,591,7518.0,9502.0,0.7912018522416333,148.0,0.01968608672519287,35,14
2026-03-11,1414833_U_5,2,433,515,6500.0,7731.0,0.840770922261027,0.0,0.0,OC1,13
2026-03-11,1429985_U_104,3,367,617,5674.0,25986.0,0.21834834141460788,0.0,0.0,49.1,13
2026-03-11,1364748_U_86,2,293,530,4398.0,8632.0,0.5094995366079703,0.0,0.0,36,14
2026-03-11,1364748_U_14,3,212,468,3168.0,8572.0,0.36957536164255717,0.0,0.0,36,15
2026-03-11,1431265_U_114,2,222,320,3333.0,20927.0,0.1592679313805132,0.0,0.0,49.2,14
2026-03-11,1393827_U_84,2,265,405,3978.0,5901.0,0.6741230299949161,165.0,0.04147812971342383,45,14
2026-03-11,1481779_U_109,2,267,392,4189.0,6456.0,0.6488537794299876,555.0,0.1324898543805204,67,15
2026-03-11,1364748_U_94,2,314,468,4698.0,6800.0,0.6908823529411765,196.0,0.04171988080034057,36,14
2026-03-11,1429985_U_48,2,343,619,5299.0,12490.0,0.4242594075260208,0.0,0.0,49.1,14
2026-03-11,1393827_U_117,2,150,272,2236.0,4248.0,0.5263653483992468,0.0,0.0,45,14
2026-03-11,1431265_U_46,2,248,272,3708.0,4098.0,0.9048316251830161,0.0,0.0,49.2,15
2026-03-11,1414833_U_14,2,391,483,6020.0,7612.0,0.790856542301629,0.0,0.0,OC1,15
2026-03-11,1477768_U_41,2,291,295,5435.0,8182.0,0.6642630163774138,0.0,0.0,41JB,16
2026-03-11,1414833_U_29,2,367,527,5630.0,8033.0,0.7008589568031869,0.0,0.0,OC1,15
2026-03-11,1414833_U_42,2,324,559,4849.0,8377.0,0.5788468425450639,0.0,0.0,OC1,15
2026-03-11,1413903_U_89,2,701,800,10539.0,11996.0,0.878542847615872,14.0,0.001328399278868963,OC3,15
2026-03-11,1364749_U_16,2,259,380,3875.0,7358.0,0.5266376732807828,15.0,0.003870967741935484,44,16
2026-03-11,1429985_U_73,2,330,334,4941.0,5511.0,0.8965704953728906,0.0,0.0,49.1,15
2026-03-11,1414833_U_65,3,298,517,4459.0,7538.0,0.5915362165030512,193.0,0.04328324736488002,OC1,15
2026-03-11,1393827_U_52,2,103,205,1532.0,4370.0,0.3505720823798627,0.0,0.0,45,15
2026-03-11,1413903_U_76,2,677,973,10148.0,14638.0,0.6932641071184588,0.0,0.0,OC3,15
2026-03-11,1393827_U_125,2,304,485,4548.0,7298.0,0.6231844340915319,0.0,0.0,45,15
2026-03-11,1364749_U_41,3,324,528,4850.0,7973.0,0.608303022701618,0.0,0.0,44,16
2026-03-11,1393827_U_138,3,268,352,4010.0,5301.0,0.7564610450858329,0.0,0.0,45,15
2026-03-11,1345046_U_17,3,539,658,8077.0,9549.0,0.8458477327468845,269.0,0.0333044447195741,39A,16
2026-03-11,1393827_U_27,2,173,319,2582.0,5510.0,0.46860254083484576,0.0,0.0,45,15
2026-03-11,1414833_U_6,2,391,629,5854.0,9429.0,0.6208505673984516,0.0,0.0,OC1,16
2026-03-11,1374661_U_6,2,526,574,7882.0,7882.0,1.0,706.0,0.08957117482872368,48SP,15
2026-03-11,1399122_U_62,2,832,1106,12520.0,16755.0,0.7472396299612056,0.0,0.0,38A,17
2026-03-11,1374663_U_62,2,438,509,6562.0,10346.0,0.6342547844577614,0.0,0.0,48,16
2026-03-11,1393827_U_118,2,236,369,3528.0,5585.0,0.6316920322291854,0.0,0.0,45,16
2026-03-11,1414833_U_51,2,327,517,4894.0,7748.0,0.6316468766133195,0.0,0.0,OC1,16
2026-03-11,1431265_U_155,2,324,338,4849.0,5089.0,0.952839457653763,0.0,0.0,49.2,16
2026-03-11,1393827_U_111,2,168,270,2507.0,5570.0,0.45008976660682226,0.0,0.0,45,17
2026-03-11,1393827_U_95,2,281,521,4203.0,8072.0,0.5206888007928642,0.0,0.0,45,17
2026-03-11,1364748_U_87,2,432,618,6470.0,9324.0,0.6939081939081939,0.0,0.0,36,17
2026-03-11,1429985_U_112,2,337,406,5042.0,16496.0,0.3056498545101843,0.0,0.0,49.1,16
2026-03-11,1364748_U_95,2,354,557,5298.0,8617.0,0.6148311477312289,0.0,0.0,36,17
2026-03-11,1364748_U_15,2,553,671,8331.0,10043.0,0.8295330080653192,45.0,0.005401512423478574,36,17
2026-03-11,1414833_U_22,2,552,616,8273.0,9233.0,0.896025127260912,0.0,0.0,OC1,16
2026-03-11,1364755_U_53,2,590,603,9022.0,9488.0,0.950885328836425,0.0,0.0,55A,16
2026-03-11,1393827_U_46,2,315,425,4713.0,7626.0,0.6180173092053501,0.0,0.0,45,17
2026-03-11,1429985_U_116,2,373,389,5584.0,15146.0,0.36867819886438663,0.0,0.0,49.1,16
2026-03-11,1414833_U_60,2,517,541,7747.0,8106.0,0.955711818406119,0.0,0.0,OC1,16
2026-03-11,1393827_U_19,3,209,415,3663.0,6844.0,0.5352133255406195,0.0,0.0,45,17
2026-03-11,1364755_U_41,2,502,508,7521.0,7642.0,0.9841664485736719,0.0,0.0,55A,16
2026-03-11,1393827_U_147,3,306,455,4579.0,7039.0,0.6505185395652792,15.0,0.0032758244158113126,45,17
2026-03-11,1393827_U_53,3,231,364,3678.0,7489.0,0.4911203097876886,90.0,0.024469820554649267,45,18
2026-03-11,1364748_U_79,2,472,621,7099.0,9292.0,0.7639905294877314,30.0,0.004225947316523454,36,17
2026-03-11,1393827_U_62,2,182,244,2713.0,3584.0,0.7569754464285714,45.0,0.016586804275709546,45,17
2026-03-11,1413904_U_55,2,492,671,7372.0,10464.0,0.7045107033639144,0.0,0.0,OC2,17
2026-03-11,1399122_U_44,2,806,846,12506.0,12984.0,0.9631854590264941,106.0,0.00847593155285463,38A,17
2026-03-11,1399122_U_31,2,648,663,9772.0,10013.0,0.975931289323879,0.0,0.0,38A,17
2026-03-11,1364751_U_29,2,707,766,10596.0,11482.0,0.9228357429019335,0.0,0.0,46,17
2026-03-11,1431265_U_167,2,245,279,3660.0,4173.0,0.8770668583752695,0.0,0.0,49.2,17
2026-03-11,1364748_U_29,2,445,538,6666.0,8784.0,0.7588797814207651,29.0,0.00435043504350435,36,17
2026-03-11,1429985_U_122,2,444,460,6651.0,6801.0,0.9779444199382443,75.0,0.011276499774470004,49.1,17
2026-03-11,1393827_U_126,2,238,451,3559.0,7821.0,0.45505689809487276,0.0,0.0,45,17
2026-03-11,1364751_U_85,2,651,811,9757.0,12159.0,0.8024508594456781,0.0,0.0,46,17
2026-03-11,1393827_U_28,2,221,369,4023.0,6348.0,0.6337429111531191,0.0,0.0,45,18
2026-03-11,1413904_U_22,2,463,577,6938.0,8588.0,0.8078714485328365,46.0,0.006630152781781493,OC2,17
2026-03-11,1364749_U_42,2,282,534,4217.0,8075.0,0.5222291021671827,0.0,0.0,44,17
2026-03-11,1393827_U_139,2,139,267,2075.0,4233.0,0.49019607843137253,0.0,0.0,45,17
2026-03-11,1364751_U_52,2,712,856,10703.0,12159.0,0.8802533103051238,706.0,0.06596281416425301,46,18
2026-03-11,1393827_U_112,3,185,326,2763.0,5840.0,0.4731164383561644,0.0,0.0,45,17
2026-03-11,1364749_U_17,2,174,264,2597.0,5884.0,0.4413664174031271,0.0,0.0,44,18
2026-03-11,1374663_U_46,3,579,754,8676.0,11633.0,0.7458093355110461,15.0,0.0017289073305670815,48,17
2026-03-11,1481779_U_129,2,331,620,5239.0,17459.0,0.30007446016381234,0.0,0.0,67,17
2026-03-11,1374663_U_77,2,507,573,7597.0,8617.0,0.8816293373563885,0.0,0.0,48,18
2026-03-11,1414833_U_7,2,504,551,7550.0,8255.0,0.9145972138098122,0.0,0.0,OC1,18
2026-03-11,1429985_U_117,2,423,488,6335.0,11094.0,0.5710293852532901,0.0,0.0,49.1,18
2026-03-11,1374663_U_37,2,516,555,7731.0,8526.0,0.9067558057705841,0.0,0.0,48,18
2026-03-11,1413903_U_61,2,546,621,8182.0,8362.0,0.9784740492705094,932.0,0.11390857980933757,OC3,19
2026-03-11,1429985_U_123,2,328,558,4910.0,14517.0,0.3382241509953847,0.0,0.0,49.1,19
2026-03-11,1364755_U_42,2,458,580,6860.0,8451.0,0.8117382558277128,225.0,0.03279883381924198,55A,19
2026-03-11,1393827_U_140,2,230,269,3438.0,5406.0,0.6359600443951166,0.0,0.0,45,19
2026-03-11,1413903_U_33,2,510,722,7641.0,10764.0,0.709866220735786,45.0,0.005889281507656066,OC3,19
2026-03-11,1481779_U_131,2,206,315,3078.0,6065.0,0.5075020610057708,0.0,0.0,67,19
2026-03-11,1429985_U_114,2,82,84,1215.0,3587.0,0.33872316699191524,0.0,0.0,49.1,20
2026-03-11,1413903_U_85,2,438,732,6560.0,11154.0,0.5881298188990497,0.0,0.0,OC3,19
2026-03-11,1364755_U_9,2,243,484,3633.0,8136.0,0.4465339233038348,0.0,0.0,55A,21
2026-03-11,1429985_U_118,2,126,249,1877.0,5585.0,0.3360787824529991,0.0,0.0,49.1,20
2026-03-11,1393827_U_48,2,216,333,3287.0,5508.0,0.5967683369644154,0.0,0.0,45,20
2026-03-11,1414833_U_70,2,80,88,1186.0,1306.0,0.9081163859111792,0.0,0.0,OC1,20
2026-03-11,1364755_U_23,2,304,437,5194.0,7595.0,0.6838709677419355,0.0,0.0,55A,21
2026-03-11,1374663_U_47,2,452,557,6770.0,8422.0,0.8038470672049395,0.0,0.0,48,21
2026-03-11,1429985_U_125,2,176,210,2808.0,12326.0,0.2278111309427227,0.0,0.0,49.1,23
2026-03-11,1429985_U_119,2,124,220,1847.0,3978.0,0.46430367018602314,0.0,0.0,49.1,20
2026-03-11,1364748_U_54,2,116,134,1727.0,1997.0,0.8647971957936905,0.0,0.0,36,20
2026-03-11,1374663_U_38,2,533,551,8062.0,9113.0,0.8846702512893668,0.0,0.0,48,21
2026-03-11,1364755_U_33,2,435,451,6651.0,6891.0,0.9651719634305616,0.0,0.0,55A,21
2026-03-11,1481779_U_11,2,322,506,5090.0,9984.0,0.5098157051282052,0.0,0.0,67,22
2026-03-12,1414833_U_76,2,244,339,4278.0,86385.0,0.04952248654280257,0.0,0.0,OC1,0
2026-03-12,1345046_U_44,2,367,399,5510.0,86385.0,0.06378422179776581,0.0,0.0,39A,22
2026-03-12,1393827_U_152,2,95,135,2027.0,86385.0,0.023464721884586443,0.0,0.0,45,23
2026-03-12,1379485_U_112,2,152,154,3017.0,86385.0,0.03492504485732477,0.0,0.0,53,0
2026-03-12,1374663_U_98,2,488,734,7431.0,76521.0,0.09711059709099464,0.0,0.0,48,19
2026-03-12,1364751_U_99,2,320,332,6080.0,86385.0,0.07038258956994849,0.0,0.0,46,0
2026-03-12,1374663_U_117,2,627,667,9713.0,50429.0,0.19260742826548216,0.0,0.0,48,11
2026-03-12,1413903_U_99,2,379,407,5690.0,86385.0,0.06586791688371824,0.0,0.0,OC3,22
